Dataset,Classifier,Base_F1_mean,Base_AUC_mean,Base_F1_std,Base_AUC_std,KM_F1_mean,KM_AUC_mean,KM_F1_std,KM_AUC_std,KM-p-F1,KM-p-AUC,CAC_F1_mean,CAC_AUC_mean,CAC_F1_std,CAC_AUC_std,CAC-Base-p-F1,CAC-Base-p-AUC,CAC-KM-p-F1,CAC-KM-p-AUC
adult,SVM,0.531644116,0.85271752,0.007003601,0.002060611,0.594816507,0.744537258,0.00849736,0.101608767,3.01E-06,0.065904587,0.600889595,0.673414035,0.007185824,0.173195431,7.33E-07,0.072185642,0.306848984,0.498817551
cic,SVM,0.414746213,0.849761367,0.023562374,0.007374091,0.425455844,0.827088534,0.022753192,0.003457572,0.531505045,0.000529883,0.447195741,0.759687403,0.012558693,0.037572117,0.041160578,0.001531607,0.132863828,0.007264725
creditcard,SVM,0.272859609,0.719417813,0.005099894,0.005547498,0.401985,0.7077829,0.007469453,0.013521491,2.45E-09,0.150013549,0.401808236,0.704919826,0.008363558,0.017865672,4.66E-09,0.159738137,0.975621449,0.80473322
diabetes,SVM,0.109873453,0.567890702,0.007632589,0.001411174,0.106730155,0.535814912,0.021131021,0.013608865,0.786720478,0.001563926,0.271260611,0.53949865,0.191809743,0.014323997,0.131180448,0.004264859,0.126544568,0.718919337
magic,SVM,0.847375579,0.839807985,0.005201389,0.005712738,0.879325293,0.751739998,0.001886786,0.066804086,2.87E-06,0.030318286,0.879913288,0.754608548,0.000653548,0.067701089,1.66E-06,0.036483493,0.572147457,0.953380711
sepsis,SVM,0.435898109,0.838060584,0.014751809,0.007024832,0.510835088,0.638308849,0.010012638,0.091188102,3.05E-05,0.002386402,0.50362126,0.631069626,0.00745609,0.08607858,3.67E-05,0.001367,0.281148144,0.910926465
titanic,SVM,0.804094367,0.902186685,0.043781787,0.022321373,0.822562776,0.701102878,0.031363747,0.176450598,0.512197662,0.053622924,0.793981676,0.812836654,0.04273215,0.035499616,0.749443777,0.002755951,0.312296868,0.249557576
adult,LR,0.553181419,0.853515121,0.005486124,0.001671994,0.616622226,0.855343121,0.007468044,0.004046499,7.80E-07,0.42793573,0.626808613,0.862096859,0.009740125,0.005854641,1.05E-06,0.022531947,0.135519213,0.094267861
cic,LR,0.45496534,0.852267399,0.02490711,0.006381097,0.490478218,0.849003238,0.006689846,0.006390565,0.024903914,0.490341805,0.458654333,0.758095,0.018736111,0.043507868,0.818821786,0.002676028,0.01262666,0.003277773
creditcard,LR,0.359731547,0.722973704,0.019104576,0.005858002,0.496358416,0.746997205,0.010058559,0.009202467,1.43E-06,0.00227325,0.496099931,0.746133979,0.007949796,0.009291533,1.05E-06,0.00292744,0.968824042,0.898229974
diabetes,LR,0.11774805,0.567780165,0.007558484,0.001456672,0.500034836,0.566573561,0.008231307,0.003690726,2.32E-12,0.559921839,0.505374706,0.561445391,0.00093607,0.007973575,9.69E-14,0.156662722,0.233370927,0.276698155
magic,LR,0.847814662,0.839186794,0.004640674,0.005707859,0.858404869,0.889779276,0.004079305,0.004620153,0.008981812,7.43E-07,0.857419635,0.889101058,0.004147454,0.004465844,0.014969436,7.45E-07,0.743539718,0.838090913
sepsis,LR,0.496111469,0.842679673,0.00783411,0.007879382,0.387971536,0.857894463,0.008273873,0.010330645,6.14E-08,0.047262309,0.394503791,0.85369323,0.00632821,0.011053465,3.80E-08,0.143310616,0.245169026,0.59382683
titanic,LR,0.803768969,0.902133376,0.040841146,0.02265294,0.651930844,0.799926919,0.040528517,0.028678513,0.000748117,0.00051425,0.802346316,0.883951879,0.040874563,0.031133296,0.96193341,0.372593509,0.000796471,0.004118383
adult,LDA,0.528052705,0.849154446,0.009944718,0.002238139,0.586459013,0.876800354,0.00867408,0.001535286,2.09E-05,3.52E-08,0.586701457,0.864431707,0.009789896,0.003044974,3.05E-05,4.05E-05,0.971336423,8.77E-05
cic,LDA,0.485189934,0.848526535,0.014900392,0.007078738,0.496212857,0.846657687,0.020319846,0.008280864,0.407116807,0.740369453,0.457653365,0.751812453,0.016511978,0.049133182,0.038338906,0.004566624,0.018555723,0.005184365
creditcard,LDA,0.374834042,0.717281289,0.017559829,0.00569026,0.425573623,0.749951147,0.011019748,0.007212958,0.001201341,0.000100793,0.423825464,0.748790253,0.013039597,0.007171228,0.002056186,0.000126583,0.842847638,0.825162284
