0,1,2,3,4,5,6,7,8,9,10,11,12,13
72,0,2649,11,8,6,0,1,4,0,0,91,39,39
65,4,6514,11,8,6,4,1,4,0,0,91,17,39
49,0,11175,15,9,6,0,4,2,0,0,91,39,39
37,4,7009,5,3,0,7,4,4,0,0,90,39,39
24,4,16850,15,9,5,10,3,4,0,0,90,39,39
17,4,14182,11,8,0,8,4,4,0,0,89,44,39
21,4,7800,0,5,5,1,4,4,1,0,89,39,39
57,7,3183,10,15,4,10,2,4,0,0,88,19,39
51,1,20872,11,8,0,10,1,4,0,0,88,39,39
24,4,2360,15,9,4,3,4,4,1,0,87,59,0
28,4,9646,10,15,0,10,4,2,0,0,87,34,39
21,6,8904,14,14,4,10,1,4,1,0,86,44,39
35,4,6273,9,12,6,8,1,4,0,0,86,19,39
15,4,6724,12,13,5,4,1,4,1,0,86,54,39
34,0,9638,10,15,4,0,1,4,1,0,86,39,39
29,4,1297,14,14,0,10,1,4,1,0,86,39,39
28,4,9700,1,6,0,14,1,4,1,0,86,73,39
40,4,18794,12,13,0,4,1,4,1,0,86,49,39
5,4,5558,7,11,4,6,1,2,1,0,86,39,0
17,4,13032,9,12,5,12,1,4,1,0,86,49,39
20,4,11503,9,12,4,4,1,4,1,0,86,39,39
12,4,2648,1,6,5,12,1,4,0,0,85,41,39
44,4,323,11,8,0,12,4,4,0,0,85,24,39
34,4,8043,15,9,2,14,0,4,1,0,84,39,39
44,0,6669,11,8,2,0,0,4,1,0,84,31,39
4,4,723,8,10,2,3,0,4,1,0,84,39,39
16,4,14967,3,1,2,3,1,4,1,0,84,31,26
32,4,5751,4,2,2,8,0,4,1,0,84,39,12
20,5,4454,0,5,4,14,1,4,1,0,83,49,39
21,4,9979,0,5,4,10,1,4,1,0,83,85,39
6,4,1250,15,9,5,8,1,4,1,0,83,39,39
42,5,4467,0,5,6,4,4,4,0,0,83,49,39
35,4,12608,14,14,0,4,1,4,1,0,83,59,39
34,4,5814,9,12,0,4,1,4,1,0,83,49,39
43,6,13235,11,8,4,4,1,2,1,0,83,49,39
46,1,1030,10,15,0,4,1,4,0,0,83,59,39
36,4,7727,11,8,4,12,1,4,1,0,83,47,39
34,4,12413,14,14,4,10,1,4,0,0,83,49,39
20,6,6813,10,15,4,10,1,4,0,0,83,59,39
37,4,8659,12,13,0,10,1,4,0,0,83,39,39
27,4,19028,9,12,0,4,4,4,1,0,82,49,39
26,4,5196,12,13,0,4,4,4,0,0,82,39,39
34,4,5129,15,9,0,1,4,4,0,0,82,39,39
26,4,17889,12,13,0,10,4,4,0,0,82,39,39
54,0,3926,11,8,2,0,0,4,1,0,81,14,39
31,4,5685,9,12,3,12,4,4,0,0,80,68,39
54,4,4730,11,8,2,12,0,4,1,0,79,51,39
56,6,15282,11,8,2,5,0,1,1,0,78,39,40
51,0,11866,15,9,2,0,5,4,0,0,78,39,39
50,0,9939,15,9,2,0,0,4,1,0,78,39,39
23,6,19264,14,14,4,10,1,4,1,0,77,44,39
33,4,15521,11,8,6,12,1,4,0,0,77,69,39
34,7,2317,8,10,0,13,1,4,1,0,77,38,39
25,4,4465,15,9,4,4,1,4,0,0,77,39,39
22,4,7104,12,13,4,12,1,4,1,0,77,44,39
15,4,13455,9,12,4,4,2,4,1,0,77,49,39
36,4,18647,15,9,5,3,1,4,1,0,77,44,39
23,2,7554,15,9,4,11,1,4,1,0,77,39,39
21,4,15510,9,12,4,12,1,4,0,0,77,44,39
16,4,12178,8,10,5,3,1,4,1,0,77,41,39
26,4,8135,7,11,0,3,1,4,1,0,77,68,39
33,5,5700,1,6,4,4,2,4,1,0,77,39,39
27,4,8681,15,9,2,1,5,4,0,0,76,5,39
